"id","source","organization_name","address_line","postal_code"
"sec-0000858877","SEC","CISCO SYSTEMS, INC.","170 WEST TASMAN DR, SAN JOSE, CA","95134-1706"
"gleif-KNX4USFCNGPY45LOCE31","GLEIF","INTEL CORPORATION","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000050863","SEC","INTEL CORP","2200 MISSION COLLEGE BLVD RNB-4-151, SANTA CLARA, CA","95054"
"gleif-2S72QS2UO2OESLG6Y829","GLEIF","VERIZON COMMUNICATIONS INC.","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000732712","SEC","VERIZON COMMUNICATIONS INC","1095 AVENUE OF THE AMERICAS, NEW YORK, NY","10036"
"sec-0000732712-former1","SEC","BELL ATLANTIC CORP","1095 AVENUE OF THE AMERICAS, NEW YORK, NY","10036"
"gleif-549300Z40J86GGSTL398","GLEIF","AT&T INC.","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000732717","SEC","AT&T INC.","208 S. AKARD ST, DALLAS, TX","75202"
"sec-0000732717-former1","SEC","SBC COMMUNICATIONS INC","208 S. AKARD ST, DALLAS, TX","75202"
"sec-0000732717-former2","SEC","SOUTHWESTERN BELL CORP","208 S. AKARD ST, DALLAS, TX","75202"
"gleif-787RXPR0UX0O0XUXPZ81","GLEIF","NIKE, INC.","5708 SE 136TH AVE STE 2, PORTLAND, US-OR","97236"
"sec-0000320187","SEC","NIKE, Inc.","ONE BOWERMAN DR, BEAVERTON, OR","97005-6453"
"gleif-1Z4GXXU7ZHVWFCD8TV52","GLEIF","ORACLE CORPORATION","C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0001341439","SEC","ORACLE CORP","2300 ORACLE WAY, AUSTIN, TX","78741"
"gleif-765LHXWGK1KXCLTFYQ30","GLEIF","PFIZER INC.","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000078003","SEC","PFIZER INC","66 HUDSON BOULEVARD EAST, NEW YORK, NY","10001-2192"
"gleif-4YV9Y5M8S0BRK1RP0397","GLEIF","MERCK & CO., INC.","c/o C T Corporation System 820 Bear Tavern Road West Trenton, Trenton, US-NJ","08628-1021"
"sec-0000310158","SEC","Merck & Co., Inc.","126 EAST LINCOLN AVENUE P.O. BOX 2000, RAHWAY, NJ","07065"
"gleif-FR5LCKFTG8054YNNRU85","GLEIF","ABBVIE INC.","C/O Corporate Creations Network Inc. 1521 Concord Pike Suite 201, Wilmington, US-DE","19803"
"sec-0001551152","SEC","AbbVie Inc.","1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL","60064"
"gleif-9DJT3UXIJIZJI4WXO774","GLEIF","BANK OF AMERICA CORPORATION","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000070858","SEC","BANK OF AMERICA CORP /DE/","BANK OF AMERICA CORPORATE CENTER 100 N TRYON ST, CHARLOTTE, NC","28255"
"gleif-PBLD0EJDB5FWOLXP3B76","GLEIF","WELLS FARGO & COMPANY","C/O Corporation Service Company 251 Little Falls Drive, Wilmington, US-DE","19808"
"sec-0000072971","SEC","WELLS FARGO & COMPANY/MN","333 MARKET STREET, SAN FRANCISCO, CA","94105"
"gleif-784F5XWPLTWKTBV3E584","GLEIF","THE GOLDMAN SACHS GROUP, INC.","CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000886982","SEC","GOLDMAN SACHS GROUP INC","200 WEST STREET, NEW YORK, NY","10282"
"gleif-RVHJWBXLJ1RFUBSY1F30","GLEIF","THE BOEING COMPANY","C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0000012927","SEC","BOEING CO","929 LONG BRIDGE DRIVE, ARLINGTON, VA","22202"
"gleif-DPRBOZP0K5RM2YE8UU08","GLEIF","LOCKHEED MARTIN CORPORATION","C/O CSC-LAWYERS INCORPORATING SERVICE COMPANY 7 ST. PAUL STREET SUITE 820, BALTIMORE, US-MD","21202"
"sec-0000936468","SEC","LOCKHEED MARTIN CORP","6801 ROCKLEDGE DR, BETHESDA, MD","20817"
"gleif-WRJR7GS4GTRECRRTVX92","GLEIF","CATERPILLAR INC.","C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0000018230","SEC","CATERPILLAR INC","5205 N. O'CONNOR BOULEVARD SUITE 100, IRVING, TX","75039"
"gleif-VGRQXHF3J8VDLUA7XE92","GLEIF","INTERNATIONAL BUSINESS MACHINES CORPORATION","ONE NORTH CASTLE DRIVE ARMONK, NORTH CASTLE, US-NY","10504"
"sec-0000051143","SEC","INTERNATIONAL BUSINESS MACHINES CORP","1 NEW ORCHARD ROAD, ARMONK, NY","10504"
"gleif-H1J8DDZKZP6H7RWC0H53","GLEIF","QUALCOMM INCORPORATED","C/O THE PRENTICE-HALL CORPORATION SYSTEM, INC. 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0000804328","SEC","QUALCOMM INC/DE","5775 MOREHOUSE DR, SAN DIEGO, CA","92121"
"gleif-WDJNR2L6D8RWOEB8T652","GLEIF","TEXAS INSTRUMENTS INCORPORATED","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000097476","SEC","TEXAS INSTRUMENTS INC","P.O. BOX 660199, DALLAS, TX","75266"
"gleif-OQSJ1DU9TAOC51A47K68","GLEIF","STARBUCKS CORPORATION","C/O CORPORATION SERVICE COMPANY 300 DESCHUTES WAY SW STE 208 MC-CSC1, TUMWATER, US-WA","98501"
"sec-0000829224","SEC","STARBUCKS CORP","P O BOX 34067, SEATTLE, WA","98124-1067"
